run_date,ticker,data_asof,close,close_usd,fx_rate,recommendation,score,score_trend,score_macd,score_rsi,score_volume,score_adi,score_support,rsi,macd_bullish,golden_cross,death_cross,diamond_cross,adx,mfi,bb_squeeze,regime,fair_value_egp,fair_value_method,pe_ttm,undervalued,entry_price,stop_loss,tp1,tp2,tp3,tp1_rr,tp2_rr,tp3_rr,ml_signal,ml_confidence,ml_medium_price,ml_cone_pct,candle_signal,candle_score_delta,chartscan_signal,chartscan_confidence,chartscan_buy_patterns,chartscan_sell_patterns,score_vwap,score_volume_profile,vwap,dist_vwap_pct,vp_poc,vp_va_high,vp_va_low,above_poc,ta_source,ta_fetch_time,params_version,stale,intraday_rsi,intraday_vwap,intraday_volatility_pct,intraday_data_quality,outcome,outcome_date,r_multiple,hold_days,mfe_pct,mae_pct,max_price,min_price,pnl_pct
2026-09-26,EFID,2026-09-24,29.5,0.5741,51.720001220703125,Watch,31.3,15.45,0.0,12.0,0.04,0.0,0.0,41.13,False,True,False,True,15.28,62.67,False,transitioning,21.1954,Blended (Graham+PE),12.86,False,27.325,26.427,28.544,29.555,30.361,1.36,2.48,3.38,Buy,0.76,31.048,14.13,neutral,0,Sell,0.4236,0,1,2.0,1.8,30.8803,-4.47,31.004,31.688,30.124,False,TradingView,2026-09-26 10:08:05,v2.0,False,25.641025641025635,31.090775395281646,1.2372881355932184,good,,,,,,,,,
2026-09-26,EFIH,2026-09-24,22.98,0.4472,51.720001220703125,Watch,50.37,16.37,0.0,12.0,0.0,6.0,6.6,45.25,False,True,False,True,17.11,57.83,False,trending_down,7.7477,Blended (Graham+PE),31.84,False,22.582,22.396,23.282,23.696,23.888,3.76,5.99,7.02,Avoid,0.37,23.696,10.11,neutral,0,Buy,0.3343,1,0,4.0,5.4,23.3315,-1.51,23.463,23.801,22.835,False,TradingView,2026-09-26 10:08:05,v2.0,False,49.58677685950414,23.78862563408957,1.3179162004227263,good,,,,,,,,,
2026-09-26,EGAL,2026-09-24,356.96,6.9464,51.720001220703125,Avoid,51.34,24.5,0.0,12.0,0.0,5.0,6.04,49.71,False,True,False,True,31.32,63.57,False,trending,744.8911,Blended (Graham+PE),3.96,True,337.744,332.221,338.672,350.478,360.875,0.17,2.31,4.19,Avoid,0.02,350.478,8.12,bearish,-5,Neutral,0.0,0,0,2.0,1.8,368.1138,-3.03,371.625,378.5,359.25,False,TradingView,2026-09-26 10:08:05,v2.0,False,23.828125000000014,345.32562053049526,1.254642376896971,good,,,,,,,,,
2026-09-26,EGAS,2026-09-24,55.01,1.0705,51.720001220703125,Watch,36.25,16.3,0.0,7.2,0.0,0.0,9.96,39.97,False,True,False,True,11.84,63.37,False,transitioning,59.1463,Blended (Graham+PE),11.54,True,51.358,49.621,54.439,56.317,56.937,1.77,2.85,3.21,Buy,0.74,56.937,7.8,neutral,0,Sell,0.3355,0,1,1.0,1.8,58.3558,-5.73,59.041,60.044,56.029,False,TradingView,2026-09-26 10:08:05,v2.0,False,38.26998689384012,59.326347985339645,1.843820604046019,good,,,,,,,,,
2026-09-26,ENGC,2026-09-24,40.28,0.7838,51.720001220703125,Avoid,34.6,15.59,0.0,7.2,0.0,0.0,9.01,39.46,False,True,False,True,15.46,67.26,False,ranging,87.9847,Blended (Graham+PE),4.39,True,38.182,36.533,38.591,40.117,40.663,0.25,1.17,1.5,Avoid,0.14,40.117,16.67,neutral,0,Neutral,0.0,0,0,1.0,1.8,43.4443,-7.28,43.252,45.422,41.477,False,TradingView,2026-09-26 10:08:05,v2.0,False,23.35329341317366,45.42213091250769,1.867286139877997,good,,,,,,,,,
2026-09-26,ETEL,2026-09-24,135.99,2.6463,51.720001220703125,Avoid,50.45,25.0,6.95,6.0,0.0,5.0,0.0,72.42,True,True,False,True,51.24,61.34,False,trending_up,485.6415,Blended (Graham+PE),2.24,True,131.062,129.639,133.239,135.673,140.0,1.53,3.24,6.28,Avoid,0.0,135.673,6.63,neutral,0,Neutral,0.0,0,0,3.0,4.5,126.9619,7.11,131.062,135.875,115.25,True,TradingView,2026-09-26 10:08:05,v2.0,False,41.92685102586977,122.08604761043227,1.5211202504385846,good,,,,,,,,,
2026-09-26,ETRS,2026-09-24,10.48,0.2039,51.720001220703125,Avoid,41.18,17.55,0.0,12.0,0.0,5.0,3.83,37.67,False,True,False,True,18.03,66.89,False,trending_down,10.7909,USD-Comparison (fallback),10.61,True,10.054,9.712,10.292,10.724,11.159,0.7,1.96,3.23,Avoid,0.0,10.292,15.31,neutral,0,Neutral,0.0,0,0,1.0,1.8,11.1461,-5.98,11.195,11.474,10.792,False,TradingView,2026-09-26 10:08:05,v2.0,False,25.641025641025635,11.008200692759495,1.2540894220283532,good,,,,,,,,,
2026-09-26,GGCC,2026-09-24,0.76,0.0148,51.720001220703125,Avoid,27.6,20.0,0.0,4.8,0.0,0.0,0.0,33.04,False,True,False,True,15.23,64.69,False,transitioning,2.457,USD-Comparison (fallback),14.0,True,0.716,0.647,0.777,0.805,0.836,0.88,1.29,1.74,Avoid,0.13,0.777,17.11,neutral,0,Sell,0.3253,1,2,1.0,1.8,0.8836,-13.99,0.879,0.972,0.836,False,TradingView,2026-09-26 10:08:05,v2.0,False,14.166666666666671,0.959549887528204,2.5281954887218046,good,,,,,,,,,
2026-09-26,ISMQ,2026-09-24,8.58,0.167,51.720001220703125,Watch,25.93,10.54,0.0,12.0,0.58,0.0,0.0,35.79,False,True,False,False,18.56,65.33,False,trending_down,,N/A,,False,8.632,8.312,8.981,9.035,9.242,1.09,1.26,1.91,Buy,0.51,8.981,12.06,neutral,0,Neutral,0.0,0,0,1.0,1.8,9.1541,-6.27,9.169,9.529,8.809,False,TradingView,2026-09-26 10:08:13,v2.0,False,31.325301204819326,9.30419254336352,1.5068265068265059,good,,,,,,,,,
2026-09-26,ISPH,2026-09-24,11.67,0.2271,51.720001220703125,Watch,16.42,8.82,0.0,4.8,0.0,0.0,0.0,32.5,False,True,False,False,26.87,61.89,False,trending_down,27.6455,Blended (Graham+PE),3.5,True,10.873,10.305,11.619,11.78,12.035,1.31,1.6,2.05,Buy,0.63,12.232,10.82,neutral,0,Sell,0.3588,0,1,1.0,1.8,12.6607,-7.82,12.102,13.471,11.828,False,TradingView,2026-09-26 10:08:05,v2.0,False,21.111111111111086,13.445660825230908,1.236381442036969,good,,,,,,,,,
2026-09-26,JUFO,2026-09-24,25.98,0.5056,51.720001220703125,Watch,38.74,16.41,0.0,7.2,0.29,6.0,5.04,39.43,False,True,False,True,25.25,58.87,False,transitioning,20.9518,Blended (Graham+PE),12.39,False,25.359,24.443,27.387,27.892,28.839,2.21,2.77,3.8,Buy,0.64,27.892,10.79,bearish,-15,Sell,0.419,2,4,2.0,1.8,27.0837,-4.08,27.05,27.484,26.492,False,TradingView,2026-09-26 10:08:05,v2.0,False,26.859504132231308,26.749228449898357,1.0942483228857325,good,,,,,,,,,
2026-09-26,LCSW,2026-09-24,31.34,0.6099,51.720001220703125,Avoid,22.92,15.32,0.0,4.8,0.0,0.0,0.0,34.24,False,True,False,True,14.5,64.85,False,transitioning,40.4653,Blended (Graham+PE),10.21,True,31.34,29.383,32.433,33.554,34.515,0.56,1.13,1.62,Avoid,0.0,30.967,10.53,bearish,-6,Neutral,0.0,0,0,1.0,1.8,34.5099,-9.19,34.737,36.2,33.275,False,TradingView,2026-09-26 10:08:05,v2.0,False,37.11790393013095,34.452885214790264,2.2677545810921713,good,,,,,,,,,
2026-09-26,MASR,2026-09-24,7.45,0.145,51.720001220703125,Watch,27.17,17.14,0.0,7.2,0.04,0.0,0.0,38.91,False,True,False,True,19.14,61.28,False,transitioning,24.2335,Blended (Graham+PE),2.97,True,7.45,7.358,7.634,7.684,7.816,2.0,2.54,3.98,Buy,0.45,7.684,12.93,neutral,0,Buy,0.393,1,0,1.0,1.8,8.1153,-8.2,8.232,8.865,7.683,False,TradingView,2026-09-26 10:08:05,v2.0,False,37.499999999999936,7.962053816369134,1.2176414189837004,good,,,,,,,,,
2026-09-26,MBSC,2026-09-24,329.99,6.4215,51.720001220703125,Watch,39.38,18.58,0.0,12.0,0.0,6.0,0.0,37.7,False,True,False,True,34.99,55.21,False,trending_down,518.9306,Blended (Graham+PE),5.7,True,313.351,280.801,323.975,346.33,355.04,0.33,1.01,1.28,Buy,0.63,346.33,13.48,neutral,0,Sell,0.5653,0,1,1.0,1.8,406.1312,-18.75,422.875,470.0,368.5,False,TradingView,2026-09-26 10:08:13,v2.0,False,20.433825840930524,365.9303851490484,2.5041884386106923,good,,,,,,,,,
2026-09-26,MCQE,2026-09-24,206.54,4.0192,51.720001220703125,Avoid,32.46,17.66,0.0,12.0,0.0,0.0,0.0,39.14,False,True,False,True,24.42,67.87,False,trending_down,2027.6809,Blended (Graham+PE),0.7,True,191.198,183.57,191.665,211.421,212.505,0.06,2.65,2.79,Avoid,0.13,211.421,17.33,neutral,0,Neutral,0.0,0,0,1.0,1.8,230.0896,-10.23,244.304,254.23,214.526,False,TradingView,2026-09-26 10:08:05,v2.0,False,46.36572302983931,232.04272017060964,1.9145374814978762,good,,,,,,,,,
2026-09-26,MCRO,2026-09-24,1.59,0.0309,51.720001220703125,Avoid,43.92,24.52,0.0,12.0,0.0,0.0,0.0,47.31,False,True,False,True,39.17,65.3,False,trending,0.5545,Blended (Graham+PE),36.1,False,1.53,1.506,1.553,1.591,1.653,0.96,2.54,5.12,Avoid,0.02,1.591,6.29,neutral,0,Sell,0.4078,0,1,2.0,5.4,1.663,-4.39,1.686,1.76,1.53,False,TradingView,2026-09-26 10:08:05,v2.0,False,22.727272727272748,1.605173521897279,1.8867924528301894,good,,,,,,,,,
2026-09-26,MFPC,2026-09-24,47.0,0.9146,51.720001220703125,Watch,54.24,24.04,0.0,12.0,0.0,5.0,0.0,57.52,False,True,False,True,46.89,62.26,False,trending_up,52.2291,Blended (Graham+PE),9.12,True,47.0,44.444,51.077,54.679,255.327,1.6,3.0,81.51,Buy,0.77,51.077,17.14,neutral,0,Buy,0.4951,2,0,6.0,7.2,46.6065,0.84,46.815,50.702,42.33,True,TradingView,2026-09-26 10:08:05,v2.0,False,27.931769722814522,43.701536903619214,1.6869300911854075,good,,,,,,,,,
2026-09-26,MTIE,2026-09-24,8.18,0.1592,51.720001220703125,Avoid,37.24,16.44,0.0,12.0,0.0,0.0,5.0,39.75,False,True,False,True,19.89,61.33,False,trending_down,4.9043,Blended (Graham+PE),19.02,False,8.061,7.979,8.579,8.738,8.989,6.32,8.26,11.32,Avoid,0.25,,0.0,neutral,0,Sell,0.5223,1,2,2.0,1.8,8.5446,-4.27,8.566,8.875,8.4,False,TradingView,2026-09-26 10:08:05,v2.0,False,45.83333333333346,8.63863105437323,0.5326580509954574,good,,,,,,,,,
